,state,2006 income index,2007 income index,2008 income index,2009 income index,2010 income index,2011 income index,2012 income index,2013 income index,2014 income index,2015 income index,2016 income index,2006 educational index,2007 educational index,2008 educational index,2009 educational index,2010 educational index,2011 educational index,2012 educational index,2013 educational index,2014 educational index,2015 educational index,2016 educational index
0,Total,0.941,0.943,0.9420000000000001,0.937,0.94,0.941,0.943,0.945,0.948,0.95,0.9520000000000001,0.866,0.8690000000000001,0.882,0.888,0.892,0.897,0.898,0.8909999999999999,0.892,0.894,0.899
1,Alabama,0.902,0.902,0.9009999999999999,0.895,0.898,0.9,0.9009999999999999,0.902,0.902,0.904,0.905,0.836,0.84,0.853,0.8590000000000001,0.8640000000000001,0.868,0.87,0.862,0.863,0.865,0.87
2,Alaska,0.983,0.991,0.992,1.0,0.998,1.0,1.0,1.0,0.995,0.996,0.987,0.892,0.8959999999999999,0.909,0.914,0.919,0.924,0.925,0.917,0.9179999999999999,0.9209999999999999,0.9259999999999999
3,Arizona,0.9259999999999999,0.927,0.92,0.9059999999999999,0.9059999999999999,0.9079999999999999,0.91,0.909,0.91,0.91,0.9109999999999999,0.8590000000000001,0.863,0.8759999999999999,0.8809999999999999,0.887,0.8909999999999999,0.893,0.885,0.8859999999999999,0.888,0.894
4,Arkansas,0.894,0.893,0.893,0.888,0.893,0.895,0.895,0.899,0.9009999999999999,0.9009999999999999,0.902,0.831,0.835,0.848,0.8540000000000001,0.8590000000000001,0.8640000000000001,0.865,0.858,0.858,0.86,0.866
5,California,0.9590000000000001,0.961,0.96,0.9520000000000001,0.9540000000000001,0.955,0.958,0.961,0.965,0.971,0.9740000000000001,0.85,0.853,0.865,0.8690000000000001,0.873,0.878,0.879,0.872,0.872,0.8740000000000001,0.88
6,Colorado,0.9490000000000001,0.9520000000000001,0.9520000000000001,0.946,0.946,0.946,0.948,0.951,0.956,0.958,0.958,0.905,0.909,0.9229999999999999,0.929,0.934,0.9390000000000001,0.94,0.9329999999999999,0.9329999999999999,0.9359999999999999,0.941
7,Connecticut,0.99,0.997,0.995,0.988,0.988,0.985,0.985,0.983,0.983,0.987,0.988,0.899,0.902,0.915,0.9209999999999999,0.9259999999999999,0.9309999999999999,0.932,0.924,0.925,0.927,0.9329999999999999
8,Delaware,0.991,0.9890000000000001,0.981,0.985,0.983,0.986,0.982,0.9790000000000001,0.985,0.987,0.986,0.872,0.8759999999999999,0.889,0.894,0.898,0.903,0.904,0.897,0.898,0.9,0.905
9,District of Columbia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.912,0.919,0.937,0.9470000000000001,0.956,0.961,0.9620000000000001,0.9540000000000001,0.955,0.9570000000000001,0.963
10,Florida,0.925,0.925,0.9179999999999999,0.9079999999999999,0.909,0.907,0.9059999999999999,0.9079999999999999,0.91,0.9129999999999999,0.914,0.8640000000000001,0.867,0.879,0.884,0.888,0.892,0.893,0.8859999999999999,0.887,0.889,0.894
11,Georgia,0.935,0.934,0.9279999999999999,0.9209999999999999,0.922,0.9229999999999999,0.9229999999999999,0.925,0.9279999999999999,0.93,0.9329999999999999,0.858,0.861,0.8740000000000001,0.879,0.883,0.888,0.889,0.882,0.883,0.885,0.89
12,Hawaii,0.946,0.9490000000000001,0.9490000000000001,0.943,0.946,0.9470000000000001,0.9470000000000001,0.948,0.948,0.951,0.9540000000000001,0.883,0.887,0.9009999999999999,0.9079999999999999,0.9129999999999999,0.9179999999999999,0.92,0.912,0.9129999999999999,0.915,0.92
13,Idaho,0.899,0.9009999999999999,0.9,0.892,0.892,0.8909999999999999,0.8909999999999999,0.894,0.8959999999999999,0.898,0.898,0.866,0.871,0.884,0.89,0.8959999999999999,0.9009999999999999,0.902,0.894,0.895,0.897,0.903
14,Illinois,0.9520000000000001,0.9540000000000001,0.951,0.9470000000000001,0.9490000000000001,0.9520000000000001,0.955,0.955,0.958,0.96,0.9620000000000001,0.878,0.882,0.895,0.9009999999999999,0.907,0.912,0.9129999999999999,0.905,0.9059999999999999,0.9079999999999999,0.914
15,Indiana,0.9229999999999999,0.927,0.9259999999999999,0.915,0.925,0.9259999999999999,0.9259999999999999,0.93,0.932,0.9329999999999999,0.935,0.856,0.861,0.8740000000000001,0.88,0.8859999999999999,0.8909999999999999,0.892,0.885,0.8859999999999999,0.888,0.893
16,Iowa,0.932,0.938,0.9359999999999999,0.932,0.935,0.938,0.943,0.943,0.9470000000000001,0.95,0.951,0.878,0.882,0.895,0.9009999999999999,0.9059999999999999,0.9109999999999999,0.912,0.904,0.905,0.907,0.9129999999999999
17,Kansas,0.924,0.9309999999999999,0.934,0.927,0.93,0.934,0.935,0.935,0.937,0.94,0.94,0.885,0.889,0.902,0.9079999999999999,0.9129999999999999,0.9179999999999999,0.919,0.9109999999999999,0.912,0.914,0.92
18,Kentucky,0.9059999999999999,0.905,0.905,0.898,0.905,0.907,0.9079999999999999,0.909,0.909,0.9109999999999999,0.912,0.826,0.8320000000000001,0.846,0.853,0.86,0.865,0.866,0.858,0.8590000000000001,0.861,0.867
19,Louisiana,0.9420000000000001,0.9359999999999999,0.9359999999999999,0.937,0.9440000000000001,0.935,0.935,0.929,0.9309999999999999,0.932,0.93,0.8340000000000001,0.838,0.85,0.855,0.86,0.865,0.866,0.858,0.8590000000000001,0.861,0.867
20,Maine,0.9079999999999999,0.9079999999999999,0.907,0.905,0.9079999999999999,0.9059999999999999,0.9059999999999999,0.9059999999999999,0.9079999999999999,0.91,0.912,0.8809999999999999,0.885,0.899,0.904,0.909,0.915,0.9159999999999999,0.9079999999999999,0.909,0.9109999999999999,0.917
21,Maryland,0.9520000000000001,0.9540000000000001,0.955,0.9540000000000001,0.9590000000000001,0.961,0.961,0.96,0.961,0.9640000000000001,0.965,0.897,0.9009999999999999,0.914,0.919,0.924,0.929,0.93,0.922,0.9229999999999999,0.925,0.9309999999999999
22,Massachusetts,0.971,0.976,0.976,0.972,0.978,0.981,0.983,0.982,0.9840000000000001,0.9890000000000001,0.991,0.905,0.909,0.9229999999999999,0.929,0.935,0.94,0.941,0.9329999999999999,0.934,0.937,0.9420000000000001
23,Michigan,0.919,0.919,0.9129999999999999,0.9,0.91,0.914,0.917,0.919,0.922,0.9259999999999999,0.9279999999999999,0.873,0.877,0.8909999999999999,0.897,0.902,0.907,0.9079999999999999,0.9,0.9009999999999999,0.903,0.909
24,Minnesota,0.9490000000000001,0.95,0.95,0.9440000000000001,0.9490000000000001,0.951,0.953,0.955,0.9590000000000001,0.96,0.961,0.9,0.904,0.9179999999999999,0.924,0.929,0.935,0.9359999999999999,0.9279999999999999,0.929,0.9309999999999999,0.937
25,Mississippi,0.875,0.878,0.885,0.878,0.879,0.877,0.88,0.882,0.88,0.8809999999999999,0.882,0.823,0.8270000000000001,0.84,0.846,0.852,0.856,0.857,0.85,0.851,0.853,0.858
26,Missouri,0.9209999999999999,0.9209999999999999,0.924,0.9209999999999999,0.922,0.9209999999999999,0.922,0.925,0.925,0.927,0.9279999999999999,0.8640000000000001,0.868,0.8809999999999999,0.888,0.893,0.898,0.899,0.8909999999999999,0.892,0.894,0.9
27,Montana,0.898,0.905,0.904,0.9,0.905,0.909,0.91,0.91,0.9129999999999999,0.915,0.914,0.892,0.898,0.9129999999999999,0.9209999999999999,0.9279999999999999,0.9329999999999999,0.934,0.927,0.927,0.929,0.935
28,Nebraska,0.935,0.938,0.94,0.941,0.9470000000000001,0.953,0.951,0.9540000000000001,0.9590000000000001,0.958,0.9590000000000001,0.884,0.888,0.902,0.9079999999999999,0.914,0.919,0.92,0.912,0.9129999999999999,0.915,0.9209999999999999
29,Nevada,0.958,0.9540000000000001,0.945,0.93,0.9309999999999999,0.9309999999999999,0.927,0.927,0.927,0.929,0.93,0.845,0.8490000000000001,0.862,0.868,0.873,0.878,0.879,0.872,0.873,0.875,0.88
30,New Hampshire,0.941,0.9420000000000001,0.94,0.938,0.943,0.9440000000000001,0.945,0.946,0.948,0.951,0.955,0.9,0.905,0.92,0.927,0.934,0.9390000000000001,0.94,0.932,0.9329999999999999,0.935,0.941
31,New Jersey,0.966,0.968,0.9690000000000001,0.9620000000000001,0.963,0.961,0.9640000000000001,0.966,0.966,0.968,0.97,0.895,0.898,0.9109999999999999,0.917,0.922,0.927,0.9279999999999999,0.92,0.9209999999999999,0.9229999999999999,0.929
32,New Mexico,0.915,0.915,0.9179999999999999,0.9159999999999999,0.915,0.9159999999999999,0.9159999999999999,0.914,0.919,0.922,0.9209999999999999,0.8490000000000001,0.851,0.863,0.867,0.871,0.8759999999999999,0.877,0.8690000000000001,0.87,0.872,0.877
33,New York,0.972,0.973,0.971,0.973,0.9790000000000001,0.9790000000000001,0.9840000000000001,0.983,0.986,0.988,0.9890000000000001,0.8759999999999999,0.879,0.8909999999999999,0.895,0.899,0.904,0.905,0.897,0.898,0.9,0.9059999999999999
34,North Carolina,0.9329999999999999,0.9309999999999999,0.9329999999999999,0.925,0.9259999999999999,0.927,0.925,0.9259999999999999,0.9279999999999999,0.9309999999999999,0.932,0.852,0.857,0.871,0.878,0.884,0.888,0.89,0.882,0.883,0.885,0.8909999999999999
35,North Dakota,0.9209999999999999,0.9279999999999999,0.9420000000000001,0.943,0.955,0.9690000000000001,0.996,0.995,1.0,0.995,0.9840000000000001,0.88,0.8859999999999999,0.9009999999999999,0.909,0.9159999999999999,0.9209999999999999,0.9229999999999999,0.915,0.9159999999999999,0.9179999999999999,0.924
36,Ohio,0.927,0.9279999999999999,0.9259999999999999,0.919,0.924,0.93,0.9329999999999999,0.934,0.938,0.94,0.9420000000000001,0.868,0.872,0.885,0.8909999999999999,0.897,0.9009999999999999,0.903,0.895,0.8959999999999999,0.898,0.904
37,Oklahoma,0.909,0.9109999999999999,0.9129999999999999,0.9079999999999999,0.9079999999999999,0.915,0.922,0.9279999999999999,0.934,0.937,0.9329999999999999,0.857,0.86,0.872,0.877,0.882,0.8859999999999999,0.887,0.88,0.8809999999999999,0.883,0.888
38,Oregon,0.9309999999999999,0.935,0.9420000000000001,0.9390000000000001,0.9470000000000001,0.9520000000000001,0.9470000000000001,0.9440000000000001,0.945,0.9490000000000001,0.9520000000000001,0.882,0.8859999999999999,0.899,0.904,0.91,0.915,0.9159999999999999,0.909,0.909,0.9109999999999999,0.917
39,Pennsylvania,0.929,0.934,0.937,0.932,0.937,0.9390000000000001,0.941,0.9440000000000001,0.9470000000000001,0.951,0.953,0.8740000000000001,0.878,0.8909999999999999,0.898,0.903,0.9079999999999999,0.909,0.9009999999999999,0.902,0.904,0.91
40,Rhode Island,0.9390000000000001,0.937,0.9329999999999999,0.932,0.937,0.9359999999999999,0.937,0.938,0.9390000000000001,0.941,0.943,0.862,0.865,0.878,0.883,0.887,0.892,0.893,0.8859999999999999,0.887,0.889,0.894
41,South Carolina,0.9,0.903,0.9009999999999999,0.893,0.895,0.897,0.8959999999999999,0.898,0.9009999999999999,0.904,0.905,0.846,0.851,0.865,0.871,0.877,0.882,0.883,0.8759999999999999,0.8759999999999999,0.879,0.884
42,South Dakota,0.9209999999999999,0.9259999999999999,0.9329999999999999,0.9329999999999999,0.934,0.9420000000000001,0.9390000000000001,0.94,0.94,0.943,0.9440000000000001,0.8759999999999999,0.882,0.898,0.907,0.914,0.919,0.9209999999999999,0.9129999999999999,0.914,0.9159999999999999,0.922
43,Tennessee,0.919,0.9159999999999999,0.917,0.91,0.912,0.9159999999999999,0.919,0.9209999999999999,0.9229999999999999,0.9259999999999999,0.9279999999999999,0.841,0.846,0.8590000000000001,0.866,0.872,0.877,0.878,0.87,0.871,0.873,0.879
44,Texas,0.937,0.943,0.9420000000000001,0.938,0.94,0.9440000000000001,0.95,0.955,0.9590000000000001,0.963,0.961,0.833,0.8370000000000001,0.8490000000000001,0.855,0.86,0.865,0.865,0.858,0.8590000000000001,0.861,0.866
45,Utah,0.925,0.9309999999999999,0.925,0.919,0.92,0.922,0.922,0.924,0.927,0.9309999999999999,0.9329999999999999,0.892,0.8959999999999999,0.909,0.914,0.919,0.924,0.9259999999999999,0.9179999999999999,0.919,0.9209999999999999,0.927
46,Vermont,0.917,0.917,0.92,0.9159999999999999,0.922,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.927,0.929,0.93,0.903,0.9079999999999999,0.9229999999999999,0.93,0.937,0.9420000000000001,0.943,0.935,0.9359999999999999,0.938,0.9440000000000001
47,Virginia,0.953,0.9540000000000001,0.953,0.951,0.9540000000000001,0.9540000000000001,0.9540000000000001,0.953,0.9520000000000001,0.955,0.955,0.885,0.889,0.902,0.9079999999999999,0.9129999999999999,0.9179999999999999,0.919,0.9109999999999999,0.912,0.914,0.92
48,Washington,0.953,0.961,0.961,0.9540000000000001,0.956,0.956,0.9590000000000001,0.9620000000000001,0.9640000000000001,0.9670000000000001,0.9690000000000001,0.892,0.895,0.9079999999999999,0.9129999999999999,0.9179999999999999,0.9229999999999999,0.924,0.9159999999999999,0.917,0.919,0.925
49,West Virginia,0.8859999999999999,0.887,0.8909999999999999,0.8909999999999999,0.8959999999999999,0.899,0.897,0.899,0.9009999999999999,0.902,0.9009999999999999,0.828,0.831,0.8440000000000001,0.8490000000000001,0.8540000000000001,0.858,0.8590000000000001,0.852,0.853,0.855,0.86
50,Wisconsin,0.93,0.9309999999999999,0.93,0.925,0.929,0.932,0.934,0.9359999999999999,0.938,0.94,0.941,0.882,0.8859999999999999,0.899,0.905,0.91,0.915,0.9159999999999999,0.909,0.91,0.912,0.917
51,Wyoming,0.981,0.987,0.996,0.99,0.987,0.986,0.978,0.9790000000000001,0.981,0.98,0.9740000000000001,0.884,0.889,0.903,0.91,0.9159999999999999,0.9209999999999999,0.922,0.915,0.915,0.917,0.9229999999999999
