Rank,State or territory,2018,2017,2016,2015,2014
1,Washington DC,85203,82372,75506,75628,71648
2,Maryland,83242,80776,78945,75847,73971
3,New Yersey,81740,80088,76126,72222,71919
4,Hawaii,80212,77765,74511,73486,69592
5,Massachusetts,79835,77385,75297,70628,69160
6,Conneticut,76348,74168,73433,71346,70048
8,California,75277,71805,67739,64500,61933
9,New Hampshire,74991,73381,70936,70303,66532
10,Alaska,74346,73181,76440,73355,71583
11,Washington state,74073,70979,67106,64129,61366
12,Virgina,72577,71535,68114,66262,64902
13,Colorado,71953,69117,65685,63909,61303
14,Utah,71414,65358,65977,62912,60922
15,Minnesota,70315,68388,65599,63488,61481
16,New York,67844,64894,62909,60850,58878
17,Illinois,65030,62992,60960,59588,57444
18,Delaware,64805,62852,61757,61255,59716
19,Rhode Island,64340,63870,60596,58073,54891
20,North Dakota,63837,61843,60656,60557,59029
21,Oregon,63426,60212,57532,54148,51075
22,Wyoming,61584,60434,59882,60214,57055
23,Pennsylvania,60905,59105,56907,55702,53234
24,Vermont,60782,57513,57677,56990,54166
25,Wisconsin,60773,59305,56811,55638,52622
26,Texas,60629,59206,56565,55653,53035
27,Iowa,59955,58570,56247,54736,53712
28,Nebraska,59566,59970,56927,54996,52686
29,Arizona,59246,56581,53558,51492,50068
30,Georgia,58756,56183,53559,51244,49321
31,Nevada,58646,58003,55180,52431,51450
32,Kansas,58218,56422,54935,53906,52504
33,Michigan,56697,54909,52491,51084,49847
34,South Dakota,56274,56521,54467,53017,50979
35,Ohio,56111,54021,52344,51075,49308
36,Indiana,55746,54181,52314,50532,49446
37,Maine,55602,55277,53079,51494,49462
38,Idaho,55583,52225,51807,48275,47861
39,Florida,55462,52594,50860,49426,47463
40,Montana,55328,53386,50027,49509,46328
41,Missouri,54478,53578,51746,50238,48363
42,North Carolina,53855,52752,50584,47830,46556
43,Tennessee,52375,51340,48547,47275,44361
44,South Carolina,52306,50570,49501,47238,45238
45,Oklahoma,51924,50051,49176,48568,47529
46,Kentucky,50247,48375,46659,45215,42958
47,Alabama,49861,48123,46257,44765,42830
48,Louisiana,47905,46145,45146,45727,44555
49,New Mexico,47169,46744,46748,45382,44803
50,Arkansas,47062,45869,44334,41995,41262
51,Mississippi,44717,43529,41754,40593,39680
52,West Virgina,44097,43469,43385,42019,41059
53,United States,63179,60336,57617,55775,53657
